Campaign ID,Response Day,Start Date,Created Date,Language
7016100000085PU,11/30/2017,12/1/2016,11/14/2017,Japanese
701b00000009uP4,11/30/2017,5/12/2014,5/12/2014,
70161000001HIuf,11/27/2016,10/25/2016,10/25/2016,English
701b00000009tnf,11/27/2016,5/9/2014,5/9/2014,
701b00000009yD8,11/20/2017,6/19/2014,6/19/2014,
70161000001HIua,2/4/2018,10/25/2016,10/25/2016,English
701b00000009uP4,2/5/2018,5/12/2014,5/12/2014,
701610000005lJV,2/4/2018,5/23/2016,5/23/2016,
70161000001JM78,11/26/2016,8/25/2016,8/25/2016,Japanese
70161000001HEEG,9/20/2016,10/13/2016,9/16/2016,Japanese
701b0000000Yq43,2/20/2017,10/27/2015,10/27/2015,
70161000001WNKW,7/27/2018,8/3/2018,7/18/2018,Japanese
70161000001Vilz,6/10/2018,6/29/2018,6/6/2018,Japanese
7016100000085PU,11/20/2017,12/1/2016,11/14/2017,Japanese
701b0000000AfzN,3/2/2018,5/15/2015,5/15/2015,Japanese
701b00000009yD8,2/24/2018,6/19/2014,6/19/2014,
7016100000088gI,2/24/2018,1/19/2018,1/18/2018,Japanese
701610000008AGD,3/21/2018,2/23/2018,2/12/2018,Japanese
701b0000000Z2cb,4/17/2019,12/16/2015,1/25/2016,Japanese
70161000001angY,11/18/2018,11/8/2018,11/8/2018,Japanese
70161000001HIuf,4/16/2017,10/25/2016,10/25/2016,English
70161000001JM78,3/4/2018,8/25/2016,8/25/2016,Japanese
70161000001JM78,3/10/2018,8/25/2016,8/25/2016,Japanese
7016100000088gI,3/4/2018,1/19/2018,1/18/2018,Japanese
701b00000009uP4,2/1/2018,5/12/2014,5/12/2014,
70161000001HIua,7/6/2017,10/25/2016,10/25/2016,English
70161000001JM78,2/1/2018,8/25/2016,8/25/2016,Japanese
70161000000CV54,3/30/2018,7/3/2017,3/30/2018,
70161000000VB4F,3/30/2018,7/19/2017,7/19/2017,Japanese
7014M000001WqiO,5/7/2019,5/1/2019,4/22/2019,Japanese
701b00000009tnf,11/15/2016,5/9/2014,5/9/2014,
70161000001JM78,11/15/2017,8/25/2016,8/25/2016,Japanese
70161000001JM78,6/3/2018,8/25/2016,8/25/2016,Japanese
7016100000088nT,2/4/2018,,1/21/2018,Japanese
701b0000000AfzN,2/4/2018,5/15/2015,5/15/2015,Japanese
70161000000V1r7,8/28/2017,5/26/2017,5/26/2017,Japanese
70161000000V8zJ,9/5/2017,7/3/2017,7/3/2017,
701610000002vuv,8/21/2017,4/26/2016,4/20/2016,English
70161000001HZMw,7/29/2017,3/6/2017,3/10/2017,English
70161000001HIuf,7/2/2017,10/25/2016,10/25/2016,English
70161000001JM78,1/23/2017,8/25/2016,8/25/2016,Japanese
70161000001JM78,2/24/2018,8/25/2016,8/25/2016,Japanese
701610000005lJV,7/2/2017,5/23/2016,5/23/2016,
701610000005lJV,7/2/2017,5/23/2016,5/23/2016,
701610000008Anq,6/13/2018,5/30/2018,2/21/2018,Japanese
70161000001HIuk,2/3/2018,10/25/2016,10/25/2016,English
701b00000009tnf,2/4/2018,5/9/2014,5/9/2014,
70161000001bCMf,1/8/2019,1/8/2019,11/29/2018,English
70161000001HIuf,12/14/2018,10/25/2016,10/25/2016,English
701b0000000Yq43,3/11/2018,10/27/2015,10/27/2015,
701610000008BXR,9/15/2018,2/28/2018,2/27/2018,English
70161000001JM78,2/4/2018,8/25/2016,8/25/2016,Japanese
70161000001JM78,2/2/2018,8/25/2016,8/25/2016,Japanese
70161000000V8zJ,1/5/2018,7/3/2017,7/3/2017,
70161000001JM78,12/4/2017,8/25/2016,8/25/2016,Japanese
70161000001HIua,12/23/2016,10/25/2016,10/25/2016,English
701610000005lJV,7/11/2018,5/23/2016,5/23/2016,
70161000001beY7,3/14/2019,2/12/2019,1/2/2019,English
70161000001HIuf,12/27/2016,10/25/2016,10/25/2016,English
70161000001VR7Y,7/4/2018,7/11/2018,5/22/2018,Japanese
70161000001b2PJ,1/29/2019,11/19/2018,11/18/2018,Japanese
70161000001HIuf,12/27/2016,10/25/2016,10/25/2016,English
70161000001JM78,2/1/2018,8/25/2016,8/25/2016,Japanese
70161000001Vilz,11/20/2018,6/29/2018,6/6/2018,Japanese
70161000001WZNJ,9/26/2018,8/31/2018,8/5/2018,Japanese
701610000005lJV,2/4/2018,5/23/2016,5/23/2016,
701610000005lJV,9/19/2018,5/23/2016,5/23/2016,
70161000001JM78,9/17/2018,8/25/2016,8/25/2016,Japanese
7016100000088nd,2/27/2018,,1/21/2018,Japanese
7016100000088nT,2/4/2018,,1/21/2018,Japanese
70161000001JM78,2/2/2018,8/25/2016,8/25/2016,Japanese
70161000001HJ7e,3/19/2018,8/25/2016,10/26/2016,Japanese
70161000001JM78,2/2/2018,8/25/2016,8/25/2016,Japanese
70161000001HJ7e,6/23/2018,8/25/2016,10/26/2016,Japanese
701610000005lJV,2/4/2018,5/23/2016,5/23/2016,
70161000001JM78,3/4/2018,8/25/2016,8/25/2016,Japanese
70161000001JM78,11/21/2018,8/25/2016,8/25/2016,Japanese
70161000001HJ7e,5/24/2019,8/25/2016,10/26/2016,Japanese
70161000001HIua,2/4/2018,10/25/2016,10/25/2016,English
70161000001HEEG,9/20/2016,10/13/2016,9/16/2016,Japanese
70161000001HEEG,9/20/2016,10/13/2016,9/16/2016,Japanese
70161000001HHgW,10/19/2016,11/10/2016,10/13/2016,Japanese
701b0000000AfzN,5/16/2016,5/15/2015,5/15/2015,Japanese
70161000001JM78,1/21/2019,8/25/2016,8/25/2016,Japanese
701610000005lJV,1/20/2019,5/23/2016,5/23/2016,
70161000000VAIG,11/8/2017,7/11/2017,7/11/2017,English
70161000000VB4F,11/8/2017,7/19/2017,7/19/2017,Japanese
70161000001Vilz,6/28/2018,6/29/2018,6/6/2018,Japanese
701b0000000p0dV,5/16/2016,3/16/2016,3/3/2016,English
701b0000000YpOl,5/16/2016,10/28/2015,10/20/2015,English
70161000001HIuf,1/30/2019,10/25/2016,10/25/2016,English
701b00000009tnf,1/20/2019,5/9/2014,5/9/2014,
701610000005lJV,1/20/2019,5/23/2016,5/23/2016,
701b00000009yD8,1/20/2019,6/19/2014,6/19/2014,
70161000001JM78,11/15/2017,8/25/2016,8/25/2016,Japanese
70161000001JM78,2/15/2017,8/25/2016,8/25/2016,Japanese
701b0000000Yq43,5/3/2018,10/27/2015,10/27/2015,
70161000001JM78,11/27/2016,8/25/2016,8/25/2016,Japanese
701b0000000AZLQ,11/27/2016,,4/6/2015,
701b0000000Yq43,6/14/2017,10/27/2015,10/27/2015,
70161000001HfK3,4/17/2017,4/27/2017,4/6/2017,English
70161000001HIuf,4/17/2017,10/25/2016,10/25/2016,English
701b00000009yD8,8/12/2017,6/19/2014,6/19/2014,
70161000001HIua,8/12/2017,10/25/2016,10/25/2016,English
70161000001HIuf,3/25/2017,10/25/2016,10/25/2016,English
701b00000009uP4,1/22/2017,5/12/2014,5/12/2014,
70161000001JM78,2/4/2018,8/25/2016,8/25/2016,Japanese
701b0000000Yq43,2/4/2018,10/27/2015,10/27/2015,
7016100000088r6,2/2/2018,1/30/2018,1/22/2018,English
70161000001JM78,3/3/2019,8/25/2016,8/25/2016,Japanese
7016100000088gI,6/4/2018,1/19/2018,1/18/2018,Japanese
70161000000V1r7,6/8/2018,5/26/2017,5/26/2017,Japanese
70161000001Vilz,6/10/2018,6/29/2018,6/6/2018,Japanese
701b0000000Yq43,5/16/2016,10/27/2015,10/27/2015,
70161000001HIuf,12/17/2018,10/25/2016,10/25/2016,English
70161000001JM78,11/8/2017,8/25/2016,8/25/2016,Japanese
701610000005lJV,11/8/2017,5/23/2016,5/23/2016,
70161000001HbZC,4/16/2017,4/21/2017,3/17/2017,Japanese
7016100000088nx,3/4/2018,,1/21/2018,Japanese
70161000001HIuf,3/4/2018,10/25/2016,10/25/2016,English
701b0000000p8RH,10/5/2016,3/31/2016,3/22/2016,English
701b00000009yD8,6/16/2018,6/19/2014,6/19/2014,
70161000001JM78,1/20/2019,8/25/2016,8/25/2016,Japanese
701b0000000AfzN,7/19/2016,5/15/2015,5/15/2015,Japanese
701610000005lkT,7/25/2016,8/19/2016,5/31/2016,
701610000005jHT,5/16/2016,5/25/2016,5/12/2016,English
701b0000000Ahjl,5/16/2016,5/27/2015,5/27/2015,
7016100000085PU,11/30/2017,12/1/2016,11/14/2017,Japanese
70161000001HIuk,10/12/2017,10/25/2016,10/25/2016,English
701b00000009RL0,6/16/2018,,8/10/2013,
70161000001JM78,7/2/2017,8/25/2016,8/25/2016,Japanese
70161000001JM78,1/23/2017,8/25/2016,8/25/2016,Japanese
70161000001JM78,1/23/2017,8/25/2016,8/25/2016,Japanese
701610000005n3S,6/15/2016,6/10/2016,6/10/2016,
701b0000000AfzN,5/18/2016,5/15/2015,5/15/2015,Japanese
70161000001JM78,2/2/2018,8/25/2016,8/25/2016,Japanese
701b0000000Z2cq,5/18/2016,12/16/2015,1/25/2016,Japanese
701b0000000Z2cq,5/18/2016,12/16/2015,1/25/2016,Japanese
701b0000000YuNm,1/3/2018,12/8/2015,11/19/2015,English
701b0000000oumk,12/4/2016,2/19/2016,2/19/2016,English
701b0000000Aj3b,7/30/2016,6/24/2015,6/6/2015,English
701610000005lkJ,7/19/2016,7/22/2016,5/31/2016,
701610000005pWv,10/27/2016,12/15/2016,7/10/2016,Japanese
70161000001HJip,11/9/2016,,11/2/2016,Japanese
7016100000088nx,2/3/2018,,1/21/2018,Japanese
70161000001b3JG,1/21/2019,11/20/2018,11/19/2018,English
7016100000088gI,1/21/2019,1/19/2018,1/18/2018,Japanese
70161000001HIua,6/16/2018,10/25/2016,10/25/2016,English
70161000001JMMj,6/20/2018,9/13/2016,8/26/2016,English
70161000001HIua,1/21/2019,10/25/2016,10/25/2016,English
701b0000000Yq43,6/8/2016,10/27/2015,10/27/2015,
701b0000000Aj3b,6/8/2016,6/24/2015,6/6/2015,English
701610000002vMj,5/11/2016,6/10/2016,4/18/2016,
70161000001HOYp,1/23/2017,2/9/2017,12/9/2016,Japanese
70161000001JM78,2/4/2018,8/25/2016,8/25/2016,Japanese
701b0000000Yq43,2/26/2017,10/27/2015,10/27/2015,
7016100000085PU,12/5/2017,12/1/2016,11/14/2017,Japanese
70161000001JM78,12/3/2017,8/25/2016,8/25/2016,Japanese
70161000001HIuk,9/12/2018,10/25/2016,10/25/2016,English
70161000001HIuf,2/19/2018,10/25/2016,10/25/2016,English
701610000008AGD,3/8/2018,2/23/2018,2/12/2018,Japanese
7016100000085nW,12/3/2017,1/26/2018,11/26/2017,Japanese
7016100000081Rb,12/3/2017,12/14/2017,9/13/2017,Japanese
70161000001UxwD,11/30/2018,4/19/2018,4/19/2018,
701b00000009tnf,12/3/2017,5/9/2014,5/9/2014,
70161000001HIuk,11/30/2017,10/25/2016,10/25/2016,English
70161000001WRPs,4/30/2019,7/24/2018,7/23/2018,Japanese
7016100000088gI,4/30/2019,1/19/2018,1/18/2018,Japanese
701610000005lJV,6/7/2018,5/23/2016,5/23/2016,
701610000005lJV,12/5/2017,5/23/2016,5/23/2016,
70161000000VB4F,4/17/2018,7/19/2017,7/19/2017,Japanese
70161000000V8zJ,4/24/2018,7/3/2017,7/3/2017,
70161000001HJ7e,6/13/2018,8/25/2016,10/26/2016,Japanese
70161000001JM78,4/12/2018,8/25/2016,8/25/2016,Japanese
7014M000001Wq4x,4/30/2019,5/30/2019,3/25/2019,Japanese
701610000008AEq,4/27/2019,2/12/2018,2/12/2018,English
70161000000V1r7,8/30/2018,5/26/2017,5/26/2017,Japanese
701b0000000oy8Z,1/10/2019,2/26/2016,2/26/2016,English
701b00000009yD8,5/2/2018,6/19/2014,6/19/2014,
7016100000088gI,5/2/2018,1/19/2018,1/18/2018,Japanese
70161000001JM78,9/7/2018,8/25/2016,8/25/2016,Japanese
7016100000082z0,12/4/2017,11/1/2017,10/10/2017,English
70161000000838q,11/26/2017,12/17/2017,10/12/2017,Japanese
7016100000081Rb,11/26/2017,12/14/2017,9/13/2017,Japanese
70161000001HIuf,12/12/2017,10/25/2016,10/25/2016,English
70161000000838q,11/26/2017,12/17/2017,10/12/2017,Japanese
7016100000081Rb,11/26/2017,12/14/2017,9/13/2017,Japanese
7016100000085nW,12/6/2017,1/26/2018,11/26/2017,Japanese
7016100000085nW,12/12/2017,1/26/2018,11/26/2017,Japanese
701610000005lJV,12/10/2017,5/23/2016,5/23/2016,
701b00000009tnf,11/30/2017,5/9/2014,5/9/2014,
7016100000088gI,5/6/2018,1/19/2018,1/18/2018,Japanese
70161000001JM78,4/26/2018,8/25/2016,8/25/2016,Japanese
70161000001JM78,12/16/2017,8/25/2016,8/25/2016,Japanese
70161000001HIuk,2/3/2018,10/25/2016,10/25/2016,English
701610000005lJV,1/25/2018,5/23/2016,5/23/2016,
701610000008AGD,5/14/2018,2/23/2018,2/12/2018,Japanese
70161000000V8zJ,1/5/2018,7/3/2017,7/3/2017,
7016100000081Rb,12/4/2017,12/14/2017,9/13/2017,Japanese
7016100000085nW,12/5/2017,1/26/2018,11/26/2017,Japanese
70161000001HIua,11/4/2018,10/25/2016,10/25/2016,English
7016100000085nW,12/12/2017,1/26/2018,11/26/2017,Japanese
701610000008AGD,2/21/2018,2/23/2018,2/12/2018,Japanese
701610000005lJV,12/10/2017,5/23/2016,5/23/2016,
701610000005lJV,12/10/2017,5/23/2016,5/23/2016,
701b00000009yD8,1/25/2018,6/19/2014,6/19/2014,
7016100000088r6,1/28/2018,1/30/2018,1/22/2018,English
7016100000088gI,1/28/2018,1/19/2018,1/18/2018,Japanese
701610000005lJV,1/25/2018,5/23/2016,5/23/2016,
7016100000085nW,12/18/2017,1/26/2018,11/26/2017,Japanese
70161000001JM78,12/11/2017,8/25/2016,8/25/2016,Japanese
70161000001Vilz,6/17/2018,6/29/2018,6/6/2018,Japanese
70161000001WCj5,7/3/2018,7/12/2018,7/2/2018,English
701b00000009uP4,7/3/2018,5/12/2014,5/12/2014,
701b0000000Al45,5/21/2018,8/5/2015,6/23/2015,English
7016100000088gI,4/25/2018,1/19/2018,1/18/2018,Japanese
70161000001HIua,6/28/2018,10/25/2016,10/25/2016,English
701610000005lJV,11/23/2017,5/23/2016,5/23/2016,
701610000005lJV,12/6/2017,5/23/2016,5/23/2016,
70161000001HIua,11/29/2017,10/25/2016,10/25/2016,English
701b0000000Yq43,12/13/2017,10/27/2015,10/27/2015,
701b00000009tnf,12/14/2017,5/9/2014,5/9/2014,
7016100000085PU,12/10/2017,12/1/2016,11/14/2017,Japanese
70161000001JM78,11/27/2017,8/25/2016,8/25/2016,Japanese
70161000001HIuf,1/10/2018,10/25/2016,10/25/2016,English
70161000001JM78,12/18/2017,8/25/2016,8/25/2016,Japanese
70161000000VCfl,12/14/2017,7/31/2017,7/31/2017,
70161000000VAI1,7/10/2018,7/11/2017,7/11/2017,English
7016100000088gI,6/28/2018,1/19/2018,1/18/2018,Japanese
701b0000000Z2cg,12/13/2017,12/16/2015,1/25/2016,Japanese
701b00000009tnf,5/13/2018,5/9/2014,5/9/2014,
70161000001JM78,12/4/2017,8/25/2016,8/25/2016,Japanese
70161000001HIua,12/11/2017,10/25/2016,10/25/2016,English
70161000001JM78,12/8/2017,8/25/2016,8/25/2016,Japanese
701b00000009yD8,4/18/2019,6/19/2014,6/19/2014,
70161000001JM78,7/16/2018,8/25/2016,8/25/2016,Japanese
701b0000000Yq43,12/20/2017,10/27/2015,10/27/2015,
70161000001JM78,11/24/2017,8/25/2016,8/25/2016,Japanese
701b0000000Yq43,12/13/2017,10/27/2015,10/27/2015,
70161000000VBmC,12/5/2017,8/8/2017,7/25/2017,Korean
70161000001HIua,12/6/2017,10/25/2016,10/25/2016,English
701b0000000Yq43,12/6/2017,10/27/2015,10/27/2015,
701610000005lJV,12/15/2017,5/23/2016,5/23/2016,
7016100000085PU,12/17/2017,12/1/2016,11/14/2017,Japanese
70161000001WNKW,7/27/2018,8/3/2018,7/18/2018,Japanese
701b0000000Yq43,12/11/2017,10/27/2015,10/27/2015,
701b0000000Yq43,12/19/2017,10/27/2015,10/27/2015,
7016100000081Rb,12/12/2017,12/14/2017,9/13/2017,Japanese
70161000000V8zJ,1/5/2018,7/3/2017,7/3/2017,
70161000001JM78,12/7/2017,8/25/2016,8/25/2016,Japanese
701b00000009yD8,11/28/2017,6/19/2014,6/19/2014,
70161000001Zwxt,1/17/2019,1/24/2019,9/20/2018,English
701b0000000Yq43,12/12/2017,10/27/2015,10/27/2015,
701610000008AGD,6/14/2018,2/23/2018,2/12/2018,Japanese
70161000001JM78,6/7/2018,8/25/2016,8/25/2016,Japanese
70161000001HIuf,12/17/2017,10/25/2016,10/25/2016,English
701b0000000Yq43,5/2/2018,10/27/2015,10/27/2015,
70161000001HIuf,12/18/2017,10/25/2016,10/25/2016,English
70161000001HIua,7/9/2018,10/25/2016,10/25/2016,English
70161000001VmPm,8/30/2018,6/8/2018,6/7/2018,Japanese
701b00000009tnf,12/5/2017,5/9/2014,5/9/2014,
70161000001JM78,12/30/2017,8/25/2016,8/25/2016,Japanese
70161000001JM78,8/30/2018,8/25/2016,8/25/2016,Japanese
701b00000009uP4,8/30/2018,5/12/2014,5/12/2014,
70161000001Wbe2,8/30/2018,11/21/2018,8/8/2018,Japanese
7016100000088gI,8/30/2018,1/19/2018,1/18/2018,Japanese
701610000008C6Y,3/23/2018,5/22/2018,3/6/2018,Japanese
70161000000881w,2/28/2018,3/23/2018,1/9/2018,Japanese
701610000005lJV,5/21/2018,5/23/2016,5/23/2016,
701610000008Bak,4/1/2018,3/1/2018,2/27/2018,English
701610000008AGD,2/21/2018,2/23/2018,2/12/2018,Japanese
70161000001HNz1,2/25/2019,1/29/2019,12/6/2016,Japanese
7016100000088nT,2/6/2018,,1/21/2018,Japanese
70161000001HWMF,1/21/2018,2/21/2017,2/14/2017,English
70161000001Vilz,6/10/2018,6/29/2018,6/6/2018,Japanese
7014M000001WqNk,4/10/2019,4/25/2019,4/3/2019,English
70161000000CVAJ,3/17/2019,4/2/2018,4/2/2018,
701610000005lJV,1/28/2018,5/23/2016,5/23/2016,
70161000001auLy,11/30/2018,11/30/2018,11/12/2018,Japanese
70161000000V1LU,7/24/2018,5/23/2017,5/23/2017,
70161000000VBrv,12/30/2017,8/10/2017,7/25/2017,English
701b00000009uP4,12/27/2017,5/12/2014,5/12/2014,
70161000001HIuf,12/2/2017,10/25/2016,10/25/2016,English
70161000001a7TE,10/4/2018,10/2/2018,10/2/2018,Japanese
70161000000V1r7,12/19/2017,5/26/2017,5/26/2017,Japanese
701b0000000Yq43,12/7/2017,10/27/2015,10/27/2015,
701610000005lJV,4/17/2018,5/23/2016,5/23/2016,
70161000001HIuf,11/28/2017,10/25/2016,10/25/2016,English
7016100000088gI,1/25/2018,1/19/2018,1/18/2018,Japanese
7016100000088gI,1/4/2019,1/19/2018,1/18/2018,Japanese
7016100000085PU,12/5/2017,12/1/2016,11/14/2017,Japanese
7016100000081Rb,11/23/2017,12/14/2017,9/13/2017,Japanese
701610000005lJV,10/15/2018,5/23/2016,5/23/2016,
70161000001HJ7e,10/17/2018,8/25/2016,10/26/2016,Japanese
70161000001JM78,3/28/2018,8/25/2016,8/25/2016,Japanese
701610000008C6T,3/27/2018,4/13/2018,3/6/2018,Japanese
701610000005lJV,12/11/2017,5/23/2016,5/23/2016,
70161000001JM78,11/26/2017,8/25/2016,8/25/2016,Japanese
70161000000V1LU,3/29/2018,5/23/2017,5/23/2017,
70161000001HIua,3/3/2018,10/25/2016,10/25/2016,English
70161000001HJ7e,2/22/2018,8/25/2016,10/26/2016,Japanese
701610000006xUT,3/20/2018,7/28/2015,7/22/2016,English
70161000001VR7d,8/11/2018,9/28/2018,5/22/2018,Japanese
70161000001HIua,12/12/2017,10/25/2016,10/25/2016,English
701610000005lJV,12/12/2017,5/23/2016,5/23/2016,
701b00000009yD8,5/14/2018,6/19/2014,6/19/2014,
701610000008C6T,4/11/2018,4/13/2018,3/6/2018,Japanese
70161000001HIuf,12/21/2017,10/25/2016,10/25/2016,English
70161000001pu3J,2/5/2019,1/29/2019,1/28/2019,Japanese
701b00000009yD8,12/26/2017,6/19/2014,6/19/2014,
70161000001HJ7e,10/26/2018,8/25/2016,10/26/2016,Japanese
70161000001JM78,12/31/2017,8/25/2016,8/25/2016,Japanese
70161000001HIuf,12/19/2017,10/25/2016,10/25/2016,English
701610000008AGD,2/21/2018,2/23/2018,2/12/2018,Japanese
70161000001HIuf,1/16/2018,10/25/2016,10/25/2016,English
70161000001JM78,12/19/2017,8/25/2016,8/25/2016,Japanese
70161000001JM78,12/26/2017,8/25/2016,8/25/2016,Japanese
70161000001HIuk,12/14/2017,10/25/2016,10/25/2016,English
7016100000089PI,3/18/2018,2/27/2018,1/26/2018,English
70161000001JM78,12/9/2017,8/25/2016,8/25/2016,Japanese
701b0000000Z2cv,3/22/2018,12/16/2015,1/25/2016,Japanese
701610000008AGD,3/15/2018,2/23/2018,2/12/2018,Japanese
70161000001JM78,11/26/2017,8/25/2016,8/25/2016,Japanese
70161000001JM78,11/26/2017,8/25/2016,8/25/2016,Japanese
701610000005lJV,1/25/2018,5/23/2016,5/23/2016,
70161000001JM78,1/8/2018,8/25/2016,8/25/2016,Japanese
7016100000085nW,12/29/2017,1/26/2018,11/26/2017,Japanese
7016100000085VN,12/7/2017,11/27/2017,11/16/2017,English
701b00000009yD8,12/21/2017,6/19/2014,6/19/2014,
701b0000000Yq43,1/26/2019,10/27/2015,10/27/2015,
70161000001JM78,12/20/2017,8/25/2016,8/25/2016,Japanese
701b0000000Yq43,3/26/2018,10/27/2015,10/27/2015,
7016100000085nW,12/24/2017,1/26/2018,11/26/2017,Japanese
7.0161E+14,2/22/2018,3/2/2018,1/9/2018,Japanese
70161000001JM78,2/27/2018,8/25/2016,8/25/2016,Japanese
70161000001JM78,12/10/2017,8/25/2016,8/25/2016,Japanese
70161000001WNlA,1/26/2019,7/19/2018,7/19/2018,Chinese
70161000001alAJ,12/2/2018,12/4/2018,11/6/2018,English
70161000001JM78,12/13/2017,8/25/2016,8/25/2016,Japanese
70161000001HIuf,11/8/2018,10/25/2016,10/25/2016,English
701b0000000Yq43,12/7/2017,10/27/2015,10/27/2015,
701610000008AGD,10/5/2018,2/23/2018,2/12/2018,Japanese
70161000001JM78,12/21/2017,8/25/2016,8/25/2016,Japanese
701610000005lJV,4/14/2018,5/23/2016,5/23/2016,
7016100000085VN,12/7/2017,11/27/2017,11/16/2017,English
7016100000081Rb,12/10/2017,12/14/2017,9/13/2017,Japanese
70161000000881w,3/6/2018,3/23/2018,1/9/2018,Japanese
70161000001Vilz,6/19/2018,6/29/2018,6/6/2018,Japanese
70161000000881r,1/16/2018,2/8/2018,1/9/2018,Japanese
701b00000009tnf,12/12/2017,5/9/2014,5/9/2014,
701610000005lJV,12/20/2017,5/23/2016,5/23/2016,
701b0000000Yq43,12/14/2017,10/27/2015,10/27/2015,
701b0000000Yq43,7/3/2018,10/27/2015,10/27/2015,
70161000001HIuf,12/19/2017,10/25/2016,10/25/2016,English
